nature              природа                   
flower              цветок                    
water               вода                      
air                 воздух                    
life                жизнь                     
death               смерть                    
land                земля                     
star                звезда                    
grass               трава                     
tree                дерево                    
gold                золото                    
silver              серебро                   
sound               звук                      
fire                огонь
sky                 небо
ground              земля                      
sun                 солнце                     
rain                дождь                      
moon                луна                       
stone               камень                     
wind                ветер                      
smoke               дым, курить                
river               река                       
sea                 море                       
lake                озеро                      
ocean               океан                      
beach               пляж                       
forest              лес                        
ice                 лёд                        
color               цвет                       
weather             погода                     
snow                снег                       
animal              животное                   
bird                птица                      
egg                 яйцо                       
dog                 собака                     
cat                 кошка                      
bear                медведь                    
wolf                волк                       
fox                 лиса                       
fish                рыба                       
dolphin             дельфин                    
camel               верблюд                    
horse               лошадь                     
chicken             курица, цыплёнок           
eagle               орёл
cow                 корова
duck                утка
goose               гусь
mouse               мышь
pig                 свинья
rat                 крыса
bull                бык
lion                лев
bee                 пчела
spider              паук
elephant            слон
monkey              обезьяна
tiger               тигр
fox                 лиса
shit                дерьмо    

people              люди
man                 человек, мужик
woman               женщина
child               ребёнок
person              человек
family              семья
mother              мать
father              отец
parent              родитель
girl                девочка
boy                 мальчик
enemy               враг
friend              друг
wife                жена
dad                 папа
mom                 мама
son                 сын
baby (babe)         крошка
brother             брат
sister              сестра
daughter            дочь
husband             муж
teacher             учитель
soldier             солдат
engineer            инженер
policeman           полицейский
guy                 парень, чувак
girlfriend          девушка (его)
boyfriend           парень (её)
sir                 сэр                   

body        тело          
back        спина         
finger      палец         
hand        рука          
head        голова        
wing        крыло         
face        лицо          
brain       мозг          
eye         глаз          
nose        нос           
ear         ухо           
mouth       рот           
foot        нога          
heart       сердце        
soul        душа          
mind        разум         
voice       голос         
hair        волосы        
blood       кровь         
                          
thing       вещь
ring        кольцо
toy         игрушка
book        книга
textbook    учебник
notebook    тетрадь
page        страница
tale        сказка
button      кнопка
door        дверь
car         автомобиль
ship        корабль
bus         автобус
bike        мотоцикл
pen         ручка
pencil      карандаш
mirror      зеркало
news        новости
map         карта
bed         кровать
picture     картинка
table       стол
wall        стена
window      окно
box         коробка
present     подарок
ball        мяч
screen      экран
net         сеть
knife       нож
spoon       ложка
fork        вилка
cup         чашка
plate       тарелка
clock       часы
coin        монета
device      прибор                              
                          
                          
                          
                          
                          
                          
                          
                          
                          
                          
                          
                          
                          
                          
                          






time        время         
year        год           
hour        час           
week        неделя        
month       месяц         
day         день          
evening     вечер         
night       ночь          
morning     утро          
January     январь        
February    февраль       
March       март          
April       апрель        
May         май           
June        июнь          
July        июль                       
August      август
September   сентябрь
October     октябрь       food        еда
November    ноябрь        breakfast   завтрак
December    декабрь       lunch       обед
Monday      понедельник   dinner      ужин
Tuesday     вторник       supper      поздний ужин
Wednesday   среда         bottle      бутылка
Thursday    четверг       milk        молоко
Friday      пятница       meat        мясо
Saturday    суббота       sugar       сахар
Sunday      воскресенье   cake        пироженое
spring      весна         cheese      сыр
summer      лето          fruit       фрукт
autumn      осень         bread       хлеб
winter      зима          tea         чай
                          soup        суп
                          pasta       макароны             

beer        пиво           way            путь
apple       яблоко         light          свет
lemon       лимон          force          сила
cherry      вишня          power          сила
orange      апельсин       top            верх
juice       сок            size           размер
                           half           половина
                           speed          скорость
world       мир            luck           удача
