valid , v1      , top       , verb                   , trans                                                                              , exmpls
1     , Be      , 10        , Be on                  , Быть включенным                                                                    , "The computer is on."
1     , Be      , 10        , Be away                , отсутствовать                                                                      , "She is away on business for three weeks."
1     , Be      , 10        , Be down                , быть в депрессии                                                                   , "He's been down since his girlfriend left him."
1     , Be      , 10        , Be off                 , уходить/уезжать;быть свободным/неработающим                                        , "I'm off home                                                                                                                                       , it's 5 o'clock.;I'm off tomorrow."
1     , Be      , 10        , Be back                , вернуться/возвращаться                                                             , "I'll be back im 10 minutes."
1     , Be      , 10        , Be out                 , отсутствовать                                                                      , "She is out for the day."
1     , Be      , 10        , Be over                , окончиться/завершиться                                                             , "The lesson is over."
1     , Be      , 10        , Be fed up              , быть сытым по горло                                                                , "I'm feed up of his complains."
1     , Be      , 10        , Be in                  , быть дома/быть на месте                                                            , "Is he in?"
0     , Be      , 10        , Be in for              , предвосхищать (неприятное)                                                         , The weather forecast says we're in for heavy rain this evening.
0     , Be      , 10        , Be in on               , быть причатсным                                                                    , Five people will be in on this.
0     , Be      , 10        , Be into                , любить/увлекаться                                                                  , Lisa is into Pokemon collecting.
1     , Be      , 10        , Be up                  , происходить/случаться;замышлять/затевать;проснуться/бодрствовать                   , "What's up?;She is not up yet."
1     , Be      , 10        , Be up to               , намереваться/замышлять                                                             , The children are definitely up to something.
0     , Be      , 10        , Be on to               , Быть в курсе                                                                       , Charlie Taylor was on to you.
1     , Be      , 10        , Be after               , преследовать;стараться получить что-либо                                           , "The dog is after cats.;He is after your money."
1     , Be      , 10        , Be against             , противоречить/противостоять                                                        , "They were against your proposal."
1     , Be      , 10        , Be ahead               , опережать/выигрывать                                                               , "Our team is ahead."
0     , Come    , 70        , Come to                , доходить до;очнуться                                                               , "Luffy is awesome when it comes to action.;When I came to I was walking on the roof."
0     , Come    , 80        , Come in                ,                                                                                    ,
0     , Come    , 99        , Come in                , входить;приходить/прибывать                                                        ,
0     , Come    , 97        , Come in for            ,                                                                                    ,
0     , Come    , 99        , Come into              , унаследовать                                                                       , After you die I'll come into a bit of money.
0     , Come    , 84        , Come for               ,                                                                                    ,
1     , Come    , 93        , Come on                , начинаться                                                                         , "There is a storm comming on."
0     , Come    , 98        , Come with              , прилагаться                                                                        , Breakfast comes with the room and is amazing.
0     , Come    , 106       , Come about             , произойти                                                                          , How did it come about that the hippo broke free?
1     , Come    , 119       , Come up                , приближаться                                                                       , "Come up to the policeman and ask him."
0     , Come    , 999       , Come up                , появляться/возникать;подниматься/приближаться                                      ,
1     , Come    , 150       , Come up with           , придумать                                                                          , Whenever you come up with an idea write it down.
0     , Come    , 784       , Come upon              ,                                                                                    ,
1     , Come    , 120       , Come out               , выходить                                                                           , "They come out of the house."
0     , Come    , 120       , Come out of            ,                                                                                    ,
0     , Come    , 124       , Come out in            ,                                                                                    ,
0     , Come    , 142       , Come out with          ,                                                                                    ,
0     , Come    , 126       , Come at                ,                                                                                    ,
1     , Come    , 145       , Come back              , возвращаться                                                                       , "He come back for his mobile phone."
0     , Come    , 150       , Come from              , быть из                                                                            , "I come from Peru."
0     , Come    , 999       , Come from              , происходить из/от (по причине)/взяться                                             ,
0     , Come    , 184       , Come over              , заходить (в гости)                                                                 , I came over to ask about something.
0     , Come    , 999       , Come over              , приходить/подходить/заезжать                                                       ,
0     , Come    , 193       , Come down              , сводиться                                                                          , In the end everything comes down to sex.
0     , Come    , 999       , Come down              , спускаться/опускаться;падать                                                       ,
0     , Come    , 196       , Come down to           ,                                                                                    ,
0     , Come    , 219       , Come down on           ,                                                                                    ,
1     , Come    , 224       , Come down with         , заболеть;спуститься;столкнуться                                                    , "Some had come down with uncommon infections.;I'd come down with half an hour left on the game.;Television has come down with a case of gigantism."
0     , Come    , 555       , Come down upon         ,                                                                                    ,
0     , Come    , 198       , Come by                , найти/заполучить;зайти                                                             , This is how Aladdin came by the magic lamp.;She came by the bank to see me the other day.
0     , Come    , 999       , Come by                , заходить/приходить;доставать/получать                                              ,
1     , Come    , 207       , Come off               , отрываться/отваливаться;получаться/выходить                                        , "Your button is going to come off;We tried to call a spirit but nothing came off."
0     , Come    , 231       , Come before            ,                                                                                    ,
0     , Come    , 236       , Come away              ,                                                                                    ,
0     , Come    , 246       , Come after             ,                                                                                    ,
0     , Come    , 275       , Come through           , пережить/перенести                                                                 , Sometimes I wonder how I came through it.
0     , Come    , 287       , Come together          ,                                                                                    ,
0     , Come    , 306       , Come through with      ,                                                                                    ,
0     , Come    , 489       , Come between           ,                                                                                    ,
0     , Come    , 512       , Come under             , подвергнуться                                                                      , That night we came under dragon attack.
0     , Come    , 613       , Come along             , продвигаться (о работе)/идти вместе                                                , How is the building coming along?;The water is great. Come along with me!
1     , Come    , 999       , Come along             , сопровождать/составить компанию;приходить/появляться                               , "He's asked her father and Mrs Levinson to come along.;And then someone had come along and killed him instead."
0     , Come    , 1041      , Come apart             ,                                                                                    ,
