id,question_id,estimate,points
0,37,D,3
1,29,D,3
2,23,D,3
3,13,D,3
4,21,D,3
5,18,D,3
6,11,D,3
7,39,D,3
8,24,D,3
9,32,D,3
10,4,D,3
11,25,D,3
12,19,D,3
13,31,D,3
14,9,D,3
15,6,D,3
16,0,D,3
17,34,D,3
18,8,D,3
19,10,D,3
20,28,D,3
21,27,D,3
22,12,D,3
23,36,D,3
24,2,D,3
25,17,D,3
26,14,D,3
27,3,D,3
28,5,D,3
29,1,D,3
30,15,D,3
31,26,D,3
32,7,D,3
33,22,D,3
34,16,F,1
35,33,D,3
36,30,D,3
37,35,D,3
38,20,D,3
39,38,D,3
40,78,F,1
41,178,F,1
42,160,F,0
43,184,F,1
44,117,F,1
45,190,F,1
46,129,F,1
47,164,F,0
48,185,F,1
49,91,F,1
50,139,F,1
51,76,F,1
52,72,F,1
53,126,F,1
54,57,F,1
55,83,F,1
56,182,F,1
57,43,F,1
58,51,F,1
59,53,F,1
60,186,F,1
61,108,F,1
62,131,F,1
63,162,F,0
64,148,F,1
65,165,F,1
66,152,F,0
67,189,F,1
68,97,F,1
69,102,F,1
70,187,F,1
71,56,F,1
72,157,F,1
73,96,F,1
74,134,F,1
75,104,F,0
76,58,F,1
77,207,F,1
78,107,F,1
79,75,F,0
80,156,F,1
81,113,F,0
82,105,F,0
83,204,F,1
84,94,F,1
85,173,F,1
86,121,F,0
87,71,F,1
88,191,F,1
89,192,F,1
90,69,F,0
91,127,F,1
92,84,F,1
93,170,F,1
94,99,F,1
95,90,F,1
96,122,F,1
97,124,F,1
98,66,F,1
99,68,F,1
