id;question;correct;options;extra;suspicious_status;suspicious_note
# позиция предлогов
# >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# >>>> не отработаны все кейсы - например вопросительные слова и тп >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
000;Выберите правильную позицию для предлога "about";This is the topic we talked about.;This is about the topic we talked./This is the topic about we talked./This is the topic we talked about./This is the topic we about talked.;;;
000;Выберите правильную позицию для предлога "about";This is the topic we talked about.;This is about the topic we talked./This is the topic about we talked./This is the topic we talked about./This is the topic we about talked.;;;
000;Выберите правильную позицию для предлога "about";This is the topic we talked about.;This is about the topic we talked./This is the topic we talked about./This is the topic about we talked./This is the topic we about talked.;;;
000;Выберите правильную позицию для предлога "about";This is the topic we talked about.;This is the topic about we talked./This is about the topic we talked./This is the topic we about talked./This is the topic we talked about.;;;
000;Выберите правильную позицию для предлога "about";This is the topic we talked about.;This is the topic about we talked./This is about the topic we talked./This is the topic we talked about./This is the topic we about talked.;;;
000;Выберите правильную позицию для предлога "about";This is the topic we talked about.;This is the topic we about talked./This is about the topic we talked./This is the topic we talked about./This is the topic about we talked.;;;
000;Выберите правильную позицию для предлога "about";This is the topic we talked about.;This is the topic we about talked./This is the topic we talked about./This is the topic about we talked./This is about the topic we talked.;;;
000;Выберите правильную позицию для предлога "about";This is the topic we talked about.;This is the topic we talked about./This is about the topic we talked./This is the topic we about talked./This is the topic about we talked.;;;
000;Выберите правильную позицию для предлога "about";This is the topic we talked about.;This is the topic we talked about./This is the topic about we talked./This is the topic we about talked./This is about the topic we talked.;;;
000;Выберите правильную позицию для предлога "about";This is the topic we talked about.;This is the topic we talked about./This is the topic about we talked./This is the topic we about talked./This is about the topic we talked.;;;
000;Выберите правильную позицию для предлога "about";What are you talking about.;What about are you talking./What are about you talking./What are you about talking./What are you talking about.;;;
000;Выберите правильную позицию для предлога "about";What are you talking about.;What about are you talking./What are about you talking./What are you talking about./What are you about talking.;;;
000;Выберите правильную позицию для предлога "about";What are you talking about.;What about are you talking./What are you about talking./What are about you talking./What are you talking about.;;;
000;Выберите правильную позицию для предлога "about";What are you talking about.;What about are you talking./What are you talking about./What are you about talking./What are about you talking.;;;
000;Выберите правильную позицию для предлога "about";What are you talking about.;What are about you talking./What are you about talking./What about are you talking./What are you talking about.;;;
000;Выберите правильную позицию для предлога "about";What are you talking about.;What are about you talking./What are you talking about./What about are you talking./What are you about talking.;;;
000;Выберите правильную позицию для предлога "about";What are you talking about.;What are about you talking./What are you talking about./What are you about talking./What about are you talking.;;;
000;Выберите правильную позицию для предлога "about";What are you talking about.;What are you about talking./What about are you talking./What are you talking about./What are about you talking.;;;
000;Выберите правильную позицию для предлога "about";What are you talking about.;What are you talking about./What are about you talking./What about are you talking./What are you about talking.;;;
000;Выберите правильную позицию для предлога "about";What are you talking about.;What are you talking about./What are about you talking./What about are you talking./What are you about talking.;;;
000;Выберите правильную позицию для предлога "after";They went home after the show.;After they went home the show./They went after home the show./They after went home the show./They went home after the show.;;;
