id,tid,qkind,qid,points,estimation,asked_at
0,2,input,0,6,D,2025-03-04 01:27:27.187106+00:00
1,2,input,1,4,D,2025-03-04 01:31:13.776556+00:00
2,2,input,4,3,F,2025-03-04 01:27:34.872225+00:00
3,2,input,3,3,F,2025-03-04 01:27:34.403649+00:00
4,2,input,2,3,F,2025-03-04 01:27:26.184399+00:00
7,1,input,0,0,N,2025-03-04 05:41:37.487712+00:00
8,1,choose,2,3,F,2025-03-04 01:27:46.628137+00:00
9,1,choose,1,4,D,2025-03-04 05:41:57.880096+00:00
10,1,choose,0,4,D,2025-03-04 01:31:28.415734+00:00
11,1,input,2,0,N,2025-03-04 05:41:50.933023+00:00
13,1,input,1,0,N,2025-03-04 01:30:05.835203+00:00
14,1,fill,0,0,N,2025-03-04 05:40:34.385562+00:00
