id;suspicious_status;suspicious_note;question;extra
# personal-subj: identification
# personal-subj: "it" при уточнении личности.
# personal-subj: "it" к животным.
# personal-subj: "it" к младенцам.
# personal-subj: singular they.
# personal-subj: singular we.
# personal-subj: порядок местоимений.
# personal-subj: борьба разговорного с формальным.
000;My brother and [I:t.Personal,s1,f.Formal] went to a concert last night.; Мой брат и я ходили на концерт прошлой ночью.
000;My brother and [me:t.Personal,s1,f.Colloquial] went to a concert last night.; Мой брат и я ходили на концерт прошлой ночью.
000;My colleague and [I:t.Personal,s1,f.Formal] finished the report on time.; Мой коллега и я закончили отчёт вовремя.
000;My colleague and [me:t.Personal,s1,f.Colloquial] finished the report on time.; Мой коллега и я закончили отчёт вовремя.
000;Between you and [I:t.Personal,s1,f.Formal], I think he’s wrong. (часто слышится, но неверно); Между нами, я думаю, он неправ. (часто говорят, но это ошибка)
000;Between you and [me:t.Personal,s1,f.Colloquial], I think he’s wrong.; Между нами, я думаю, он неправ.
000;My parents and [I:t.Personal,s1,f.Formal] are going on vacation.; Мои родители и я едем в отпуск.
000;My parents and [me:t.Personal,s1,f.Colloquial] are going on vacation.; Мои родители и я едем в отпуск.
000;My best friend and [I:t.Personal,s1,f.Formal] planned the trip.; Мой лучший друг и я спланировали поездку.
000;My best friend and [me:t.Personal,s1,f.Colloquial] planned the trip.; Мой лучший друг и я спланировали поездку.
000;It was [I:t.Personal,s1,f.Formal] who told him the truth.; Это был я, кто сказал ему правду.
000;It was [me:t.Personal,s1,f.Colloquial] who told him the truth.; Это был я, кто сказал ему правду.
000;It is [I:t.Personal,s1,f.Formal] who deserves the credit.; Именно я заслуживаю признания.
000;It is [me:t.Personal,s1,f.Colloquial] who deserves the credit.; Именно я заслуживаю признания.
000;It was [they:t.Personal,p2,f.Formal] who called first.; Это они позвонили первыми.
000;It was [them:t.Personal,p2,f.Colloquial] who called first.; Это они позвонили первыми.
000;It was [we:t.Personal,p1,f.Formal] who volunteered.; Это мы вызвались добровольно.
000;It was [us:t.Personal,p1,f.Colloquial] who volunteered.; Это мы вызвались добровольно.
000;No one except [he:t.Personal,s3m,f.Formal] knew the answer.; Никто, кроме него, не знал ответа.
000;No one except [him:t.Personal,s3m,f.Colloquial] knew the answer.; Никто, кроме него, не знал ответа.
000;Everyone except [she:t.Personal,s3f,f.Formal] arrived on time.; Все, кроме неё, пришли вовремя.
000;Everyone except [her:t.Personal,s3f,f.Colloquial] arrived on time.; Все, кроме неё, пришли вовремя.
# personal-subj: noun2pronoun.
# personal-obj: identification.
# personal-obj: "it" к животным.
# personal-obj: "it" к младенцам.
# personal-obj: порядок местоимений.
# personal-obj: singular they.
# personal-obj: noun2pronoun.
# possessive-absolute: identification.
>>>>>>
# possessive-absolute:
# possessive-cojoint: identification.
0;0;;[I:t.Personal,s1] like coffee.;Мне нравится кофе.
1;0;;[I:t.Personal,s1] will call you tomorrow.;Я позвоню тебе завтра.
2;0;;[I:t.Personal,s1] am here.;Я здесь.
3;0;;[You:t.Personal,s2] are my friend.;Ты мой друг.
4;0;;[You:t.Personal,s2] can do it.;Ты можешь это сделать.
5;0;;[You:t.Personal,s2] look tired.;Ты выглядишь уставшим.
6;0;;[He:t.Personal,s3m] is a teacher.;Он учитель.
7;0;;[He:t.Personal,s3m] works every day.;Он работает каждый день.
8;0;;[He:t.Personal,s3m] likes pizza.;Он любит пиццу.
9;0;;[She:t.Personal,s3f] loves coffee.;Она любит кофе.
10;0;;[She:t.Personal,s3f] is very kind.;Она очень добрая.
11;0;;[She:t.Personal,s3f] told me the truth.;Она сказала мне правду.
12;0;;[It:t.Personal,s3n] is raining.;Идёт дождь.
13;0;;[It:t.Personal,s3n] looks delicious.;Оно выглядит вкусно.
14;0;;[It:t.Personal,s3n] is very expensive.;Оно очень дорого.
15;0;;[We:t.Personal,p1] are happy.;Мы счастливы.
16;0;;[We:t.Personal,p1] will meet tomorrow.;Мы встретимся завтра.
17;0;;[We:t.Personal,p1] like this place.;Нам нравится это место.
18;0;;[You:t.Personal,s2] are welcome here.;Вы здесь желанны.
19;0;;[You:t.Personal,s2] should try this.;Вы должны попробовать это.
20;0;;[You:t.Personal,s2] are very polite.;Вы очень вежливы.
21;0;;[They:t.Personal,p3] are coming.;Они идут.
22;0;;[They:t.Personal,p3] work together.;Они работают вместе.
23;0;;[They:t.Personal,p3] have a big house.;У них большой дом.
24;0;;[I:t.Personal,s1] was surprised when I saw the results.;Я был удивлён, когда увидел результаты.
25;0;;She told me that [I:t.Personal,s1] should try harder.;Она сказала мне, что я должен стараться больше.
26;0;;We all know that [you:t.Personal,s2] have the skills to succeed.;Мы все знаем, что у тебя есть навыки, чтобы добиться успеха.
27;0;;They asked if [you:t.Personal,s2] were available for the meeting.;Они спросили, свободны ли вы для встречи.
28;0;;Can you explain why [you:t.Personal,s2] made that decision?;Можешь объяснить, почему ты принял такое решение?
29;0;;They were shocked that [you:t.Personal,s2] knew the answer.;Они были шокированы, что ты знал ответ.
30;0;;She asked whether [you:t.Personal,s2] wanted to join the project.;Она спросила, хочешь ли ты присоединиться к проекту.
31;0;;The boss emphasized that [you:t.Personal,s2] must be on time.;Босс подчеркнул, что ты должен быть вовремя.
32;0;;The manager confirmed that [you:t.Personal,s2] had completed the task.;Менеджер подтвердил, что ты завершил задание.
33;0;;He warned that [you:t.Personal,s2] should be careful.;Он предупредил, что тебе следует быть осторожным.
34;0;;The teacher explained why [he:t.Personal,s3m] missed the deadline.;Учитель объяснил, почему он пропустил крайний срок.
35;0;;She couldn't believe that [he:t.Personal,s3m] had lied to her.;Она не могла поверить, что он ей солгал.
36;0;;She was worried that [he:t.Personal,s3m] wouldn't make it on time.;Она волновалась, что он не успеет вовремя.
37;0;;The team believed that [he:t.Personal,s3m] could lead them to victory.;Команда верила, что он сможет привести их к победе.
38;0;;We suspected that [he:t.Personal,s3m] was hiding something.;Мы подозревали, что он что-то скрывает.
39;0;;They admitted that [he:t.Personal,s3m] was the best candidate.;Они признали, что он был лучшим кандидатом.
40;0;;Everyone was amazed by how fast [she:t.Personal,s3f] solved the problem.;Все были поражены, как быстро она решила проблему.
41;0;;We had no idea that [she:t.Personal,s3f] spoke five languages.;Мы не знали, что она говорит на пяти языках.
42;0;;Everyone agreed that [she:t.Personal,s3f] deserved the award.;Все согласились, что она заслужила награду.
43;0;;We wondered why [she:t.Personal,s3f] hadn't responded yet.;Мы задумались, почему она ещё не ответила.
44;0;;The professor mentioned that [she:t.Personal,s3f] had done excellent research.;Профессор упомянул, что она провела отличное исследование.
45;0;;Her friend revealed that [she:t.Personal,s3f] had moved abroad.;Её друг рассказал, что она переехала за границу.
46;0;;The scientist proved that [it:t.Personal,s3n] was possible to travel faster.;Учёный доказал, что это возможно путешествовать быстрее.
47;0;;They debated whether [it:t.Personal,s3n] should be changed.;Они спорили, стоит ли это изменить.
48;0;;It was clear that [it:t.Personal,s3n] wouldn't work as planned.;Было ясно, что это не сработает, как планировалось.
49;0;;The engineer confirmed that [it:t.Personal,s3n] was built correctly.;Инженер подтвердил, что это было построено правильно.
